Title,Date,Comment Count,URL
$1.33 billion Powerball jackpot won by one ticket sold in Oregon,2024-04-07T08:13-05:00,80,https://www.lotterypost.com/news/349987
$1.23 BILLION: Powerball jackpot juggernaut keeps rolling,2024-04-04T06:46-05:00,74,https://www.lotterypost.com/news/349958
Mega Millions and Powerball offer $1.11 billion in combined lottery jackpots,2024-03-04T07:20-05:00,66,https://www.lotterypost.com/news/349502
$1.1 BILLION: Mega Millions jackpot now the eighth-largest in history,2024-03-23T08:31-05:00,54,https://www.lotterypost.com/news/349767
One New Jersey ticket is sole winner of $1.13 billion Mega Millions jackpot,2024-03-27T07:18-05:00,50,https://www.lotterypost.com/news/349811
"$1.7 billion in combined jackpots, as USA multi-state lottery games peak together",2024-03-21T07:52-05:00,43,https://www.lotterypost.com/news/349749
"Kentucky woman quits job after winning $90,000 in the lottery",2024-04-03T10:52-05:00,41,https://www.lotterypost.com/news/349950
California winner of $1.765 billion Powerball jackpot is lauded as kind family man by neighbors,2024-03-19T09:46-05:00,41,https://www.lotterypost.com/news/349730
Nebraska single father's salad run results in $1 million Mega Millions lottery win,2024-04-10T14:44-05:00,38,https://www.lotterypost.com/news/350038
$975 MILLION: Massive Powerball jackpot increases again,2024-03-31T09:07-05:00,33,https://www.lotterypost.com/news/349876
$935 MILLION: Powerball lottery jackpot nears billion-dollar milestone,2024-03-28T07:15-05:00,32,https://www.lotterypost.com/news/349826
California Lottery announces group as winners of historic $1.765 billion Powerball jackpot,2024-03-15T16:10-05:00,31,https://www.lotterypost.com/news/349686
$865 MILLION: Powerball jackpot reaching historic levels,2024-03-26T07:57-05:00,30,https://www.lotterypost.com/news/349802
$1.09 BILLION: Powerball jackpot is 4th-largest in game history,2024-04-02T08:17-05:00,29,https://www.lotterypost.com/news/349935
"Accusations of ""disturbing"" new claims procedures after Allwyn sends investigator to winner's home",2024-03-11T13:53-05:00,29,https://www.lotterypost.com/news/349621
Powerball lottery winner Edwin Castro's $25.5 million mansion nearly crushed by landslide,2024-04-09T10:22-05:00,25,https://www.lotterypost.com/news/350021
Accidental lottery ticket purchase nets Maryland couple $2 million in Powerball,2024-04-11T16:04-05:00,17,https://www.lotterypost.com/news/350053
"Limited-edition ""Jaws"" scratch-off lottery tickets coming soon to Massachusetts",2024-03-01T07:23-05:00,17,https://www.lotterypost.com/news/349440
Washington Lottery takes down AI website after it generates topless photo of user,2024-04-05T18:59-05:00,14,https://www.lotterypost.com/news/349976
U.K. convicts used stolen card to win £4 million lottery prize; now card owner wants the winnings,2024-04-16T08:12-05:00,13,https://www.lotterypost.com/news/350114
Michigan woman finds out through Facebook that she won $1 million Powerball lottery prize,2024-03-13T09:52-05:00,13,https://www.lotterypost.com/news/349648
"Michigan woman wins $500,000 in lottery the same day a tarot card reading predicts influx of money",2024-04-13T08:26-05:00,12,https://www.lotterypost.com/news/350078
"Kentucky man out of debt for the first time in his life, thanks to $150,000 lottery win",2024-03-06T07:57-05:00,12,https://www.lotterypost.com/news/349545
Virginia Lottery retailers refuse to sell tickets to draw attention to skill games amendment,2024-04-18T07:05-05:00,11,https://www.lotterypost.com/news/350140
Canadian man claims record $64 million Lotto 6/49 jackpot right before it expires,2024-03-30T11:50-05:00,11,https://www.lotterypost.com/news/349859
Michigan friends playing the same lottery numbers both win big in Powerball,2024-03-07T09:51-05:00,10,https://www.lotterypost.com/news/349564
$1.08 billion Powerball lottery winner Yanira Alvarez filed claim for jackpot over five months ago,2024-04-19T06:50-05:00,9,https://www.lotterypost.com/news/350153
"Michigan woman who won $25,000 a year for life Lucky for Life lottery prize thought she was hacked",2024-03-29T07:26-05:00,8,https://www.lotterypost.com/news/349843
"Virginia woman who previously won $100,000 in lottery wins $1 million in a different game",2024-03-25T07:21-05:00,7,https://www.lotterypost.com/news/349785
Mississippi Lottery to begin offering Lotto America,2024-04-15T16:15-05:00,6,https://www.lotterypost.com/news/350106
"Canadian man's $70 million Lotto Max win is ""bittersweet"" after wife's passing",2024-03-20T07:27-05:00,6,https://www.lotterypost.com/news/349738
Technical difficulty with New Jersey Lottery Pick 4 drawing results in two sets of winning numbers,2024-03-15T12:18-05:00,5,https://www.lotterypost.com/news/349684
Arkansas Lottery Natural State Jackpot to move to daily drawings,2024-04-12T15:15-05:00,4,https://www.lotterypost.com/news/350069
"Email from Michigan Lottery about $227,383 prize found in woman's junk folder",2024-04-08T13:02-05:00,4,https://www.lotterypost.com/news/350003
"Woman from Cambodia using Maryland Lottery tickets to learn English wins $100,000",2024-03-22T15:00-05:00,4,https://www.lotterypost.com/news/349765
Players temporarily unable to buy and cash tickets during Pennsylvania Lottery system upgrade,2024-03-18T15:59-05:00,4,https://www.lotterypost.com/news/349717
Illinois stay-at-home mom wakes up to a crying baby and $1.4 million Lucky Day Lotto jackpot,2024-03-14T20:07-05:00,3,https://www.lotterypost.com/news/349666
